earn : [['acq', 0.9973531096758533], ['ship', 0.00225558091314609], ['earn', 0.0003905318549502895], ['interest', 7.765093970115851e-07], ['sugar', 1.0013289533634495e-09], ['money-supply', 3.261545689462897e-11], ['crude', 1.270880782761253e-11], ['trade', 6.104129972153974e-18], ['money-fx', 2.2647026175101725e-19], ['grain', 1.0596273300140461e-19]]
earn : [['earn', 1.0], ['money-supply', 4.3039308978398325e-19], ['sugar', 9.992909029937916e-27], ['ship', 2.7277695968065294e-27], ['interest', 1.9566429029554735e-27], ['crude', 2.503232158330879e-34], ['acq', 1.854724088619361e-36], ['grain', 1.3061114084797756e-37], ['money-fx', 1.0823479135681182e-41], ['trade', 1.3974413382207844e-42]]
earn : [['earn', 0.9999999986081269], ['money-supply', 1.3914402619870148e-09], ['acq', 2.960242502766109e-13], ['interest', 9.851091061640657e-14], ['grain', 1.815247137108e-14], ['sugar', 1.2555849469582576e-14], ['crude', 6.943647498963587e-15], ['money-fx', 3.463082642071161e-16], ['ship', 1.3273927457217446e-17], ['trade', 6.68926936518725e-18]]
earn : [['earn', 1.0], ['money-supply', 1.6736420145520982e-27], ['sugar', 1.0554927448133513e-34], ['ship', 4.824892977987849e-35], ['interest', 1.9743255123117557e-38], ['crude', 1.533900014540131e-40], ['grain', 2.5453731976811474e-41], ['acq', 2.090728237298186e-43], ['money-fx', 1.7913841028197462e-50], ['trade', 9.464719600776753e-54]]
earn : [['earn', 1.0], ['money-supply', 1.759992364023072e-17], ['acq', 4.9129595807661195e-20], ['crude', 3.41983099867194e-21], ['interest', 8.829482819205044e-22], ['ship', 1.5328385163616897e-22], ['sugar', 4.199945762990668e-23], ['grain', 1.2372028638683928e-24], ['money-fx', 2.4004491260039628e-27], ['trade', 8.252641719197151e-31]]
earn : [['earn', 1.0], ['money-supply', 7.040576637780686e-26], ['acq', 5.84317015304933e-29], ['sugar', 2.1607606323432334e-29], ['ship', 2.8622978673847234e-30], ['crude', 1.334561985606287e-31], ['interest', 1.7123150484526518e-33], ['grain', 1.9210167588411423e-37], ['money-fx', 5.587871898724024e-40], ['trade', 9.05102507189434e-44]]
earn : [['earn', 0.9999999997945956], ['money-supply', 2.0540399272134698e-10], ['sugar', 1.370664867302157e-16], ['crude', 1.2590556721023504e-16], ['interest', 9.687799853232633e-17], ['grain', 3.529191787071971e-17], ['acq', 2.2039655770123225e-17], ['trade', 6.625629396214664e-20], ['money-fx', 4.6537463259476745e-20], ['ship', 2.916568919413479e-20]]
earn : [['earn', 0.9999998415878419], ['crude', 1.1679907040028342e-07], ['interest', 2.27106819945522e-08], ['ship', 1.2658779272950731e-08], ['money-supply', 4.782901594911025e-09], ['acq', 1.4557065000936284e-09], ['sugar', 5.017494094389287e-12], ['grain', 7.92091430450594e-16], ['money-fx', 5.4096011230927713e-17], ['trade', 4.7055617891270215e-17]]
earn : [['earn', 1.0], ['money-supply', 5.590880742221247e-17], ['ship', 2.0078235921768592e-22], ['sugar', 9.496497776082277e-24], ['interest', 5.26950901624941e-24], ['acq', 8.542518702628847e-26], ['crude', 2.8849877432617155e-27], ['grain', 8.422817809878388e-28], ['money-fx', 2.91960365820819e-32], ['trade', 2.9319949538482205e-34]]
earn : [['earn', 1.0], ['money-supply', 1.3226917747130358e-20], ['acq', 2.2175693431814453e-26], ['interest', 2.591948181952275e-28], ['sugar', 1.0276644983287543e-28], ['ship', 6.760851318884358e-29], ['crude', 6.733749008498406e-33], ['grain', 6.806630351500314e-35], ['money-fx', 5.056111098124329e-38], ['trade', 2.633578861013471e-41]]
earn : [['earn', 1.0], ['money-supply', 1.3266154736778466e-18], ['interest', 3.5186695755924704e-21], ['ship', 2.1143414002130313e-22], ['acq', 8.457390379599745e-25], ['sugar', 1.0102840815290021e-25], ['crude', 2.187263800360303e-27], ['grain', 3.1586851562165515e-29], ['trade', 3.319218818962533e-35], ['money-fx', 2.5063481780176278e-36]]
earn : [['earn', 1.0], ['money-supply', 6.179809694997295e-23], ['sugar', 9.322731058924932e-28], ['ship', 4.3333318426515405e-28], ['crude', 3.36626872236952e-30], ['interest', 1.1579048980803977e-31], ['acq', 6.086869015119618e-33], ['grain', 4.885937808109982e-33], ['money-fx', 2.115280421744748e-41], ['trade', 6.075942345169271e-43]]
earn : [['sugar', 0.9119262076677846], ['earn', 0.08522523820774557], ['crude', 0.0027045469836776428], ['ship', 0.00014400538821985595], ['acq', 1.6665131577088554e-09], ['interest', 8.298090215973528e-11], ['money-supply', 2.5251552666636437e-12], ['grain', 5.526553574056429e-13], ['trade', 4.625840236222584e-16], ['money-fx', 1.376787411380227e-19]]
earn : [['earn', 1.0], ['sugar', 4.079895075432886e-20], ['money-supply', 5.433550090951757e-21], ['ship', 5.816896904669833e-22], ['interest', 1.0071471129795045e-24], ['acq', 1.4364195249305444e-26], ['crude', 1.1073146433033731e-27], ['grain', 4.401823408378099e-29], ['money-fx', 8.040174028036053e-34], ['trade', 7.0955810718782754e-37]]
earn : [['earn', 1.0], ['money-supply', 7.041970422564992e-28], ['sugar', 3.806589733712994e-37], ['interest', 4.999067584485028e-39], ['ship', 7.405932554109455e-40], ['crude', 1.0107135872866474e-41], ['grain', 1.6049110636296552e-44], ['acq', 1.540320133962911e-46], ['money-fx', 1.6222277538943933e-51], ['trade', 1.1130280893584098e-55]]
earn : [['interest', 0.9999999999995222], ['money-supply', 4.778607372940938e-13], ['money-fx', 2.0418759024022433e-17], ['ship', 4.5973224556417134e-18], ['crude', 3.4873346050413816e-20], ['trade', 6.946259605615891e-24], ['sugar', 2.087961614225902e-26], ['acq', 3.283543748420384e-33], ['grain', 9.528392909743884e-34], ['earn', 1.136353470310571e-36]]
earn : [['earn', 1.0], ['money-supply', 1.750276254160913e-21], ['interest', 3.4744623179820704e-24], ['sugar', 4.623136967834508e-25], ['ship', 8.941087404867404e-26], ['crude', 1.7109794894474028e-27], ['acq', 6.790343811224364e-29], ['money-fx', 3.504336682910394e-32], ['grain', 1.1685529608161903e-33], ['trade', 3.1571629739076465e-35]]
earn : [['sugar', 0.8926968592442719], ['ship', 0.10257109591195401], ['crude', 0.004729273335045652], ['earn', 1.560599838584035e-06], ['interest', 1.2103170415860203e-06], ['money-supply', 4.996402845369271e-10], ['acq', 8.915424390805582e-11], ['grain', 3.053785284026362e-12], ['trade', 1.964143009747709e-16], ['money-fx', 7.765938650108147e-20]]
earn : [['earn', 1.0], ['money-supply', 1.988674363126356e-21], ['ship', 9.580697143068235e-25], ['sugar', 8.132599244095935e-26], ['interest', 3.57927563567072e-26], ['crude', 2.835781008324143e-28], ['acq', 5.14454695978573e-29], ['grain', 1.8319618765140703e-30], ['money-fx', 8.699361623808507e-35], ['trade', 4.047300657079442e-35]]
earn : [['earn', 1.0], ['money-supply', 2.9890158975012786e-31], ['ship', 2.2474436760320615e-32], ['acq', 1.8902272969980216e-33], ['interest', 3.2599582306427544e-34], ['sugar', 6.038741010116932e-35], ['crude', 1.6289326647896283e-37], ['grain', 1.3840478403756362e-38], ['money-fx', 6.00582053105128e-44], ['trade', 5.522996176239285e-49]]
earn : [['earn', 0.9999999999999947], ['money-supply', 5.254518324979375e-15], ['sugar', 1.4874869980808238e-24], ['ship', 1.3409748875891064e-29], ['interest', 8.349692988209526e-31], ['crude', 3.5640680926028474e-36], ['grain', 1.115486573906451e-37], ['acq', 4.520108414780374e-41], ['money-fx', 1.3663897991550932e-43], ['trade', 3.2268028033379235e-46]]
earn : [['earn', 1.0], ['money-supply', 5.239708549087249e-19], ['acq', 3.7032670264943065e-19], ['sugar', 1.6738910005086198e-19], ['ship', 5.857996731731309e-20], ['crude', 5.2165783548172225e-20], ['interest', 2.1860968438056424e-22], ['grain', 1.055031989076997e-24], ['money-fx', 9.819181602478981e-25], ['trade', 3.096630278551376e-29]]
earn : [['ship', 0.9999933945786222], ['sugar', 2.9861779832341823e-06], ['earn', 2.480937985405324e-06], ['acq', 1.1309197363960163e-06], ['crude', 7.132399382712958e-09], ['interest', 1.6440136596596606e-10], ['money-supply', 8.887203021497178e-11], ['grain', 5.968313875475565e-17], ['trade', 1.9910862384362647e-20], ['money-fx', 2.4141543604281103e-22]]
earn : [['earn', 1.0], ['money-supply', 3.519603585457759e-17], ['sugar', 4.8891811871853536e-20], ['acq', 2.5483657569631958e-20], ['ship', 3.3124357998335688e-22], ['crude', 8.422203999578792e-23], ['grain', 1.0727409361621359e-23], ['interest', 8.232233567706224e-24], ['money-fx', 4.705413211878338e-29], ['trade', 2.4428622569069307e-32]]
earn : [['earn', 0.997836428549839], ['acq', 0.002163017690191155], ['money-supply', 4.1093632127574183e-07], ['sugar', 8.109162635736136e-08], ['interest', 3.919030183480889e-08], ['crude', 2.133501839082167e-08], ['grain', 1.1779672117682665e-09], ['money-fx', 1.805078591501877e-11], ['ship', 1.059072102974146e-11], ['trade', 9.302110078706924e-14]]
earn : [['earn', 1.0], ['acq', 4.879713805718146e-19], ['ship', 3.0309655339224717e-21], ['money-supply', 2.5406653636296153e-21], ['interest', 1.1656492266634549e-21], ['sugar', 5.994783542665743e-22], ['crude', 5.2084433914939215e-24], ['grain', 3.778265182772806e-26], ['money-fx', 3.843642557413571e-29], ['trade', 4.955851276112538e-32]]
earn : [['earn', 0.9999999989989659], ['money-supply', 9.973875728925635e-10], ['acq', 3.529469419067318e-12], ['interest', 1.1703014385950163e-13], ['crude', 1.8848188006950887e-16], ['money-fx', 1.454388981734464e-17], ['grain', 1.3782366192150434e-17], ['ship', 7.939962083613368e-18], ['sugar', 4.5211323980631166e-18], ['trade', 1.7756600399927053e-19]]
earn : [['sugar', 0.7086922576793586], ['ship', 0.2909854330280249], ['interest', 0.0003223053384346549], ['acq', 3.6462447927603067e-09], ['money-fx', 3.0346957709317134e-10], ['money-supply', 4.4222123191660075e-12], ['crude', 4.267958110768957e-14], ['trade', 3.4432150831138557e-15], ['grain', 9.489644449311464e-20], ['earn', 1.3541557639201724e-21]]
earn : [['earn', 1.0], ['money-supply', 2.945595791613572e-17], ['ship', 1.9681403059343648e-22], ['interest', 1.7537452065818447e-23], ['sugar', 2.625945056684678e-24], ['crude', 5.772279740010744e-27], ['acq', 4.476514850048604e-27], ['grain', 7.578905763098368e-29], ['money-fx', 1.8464263652717095e-32], ['trade', 1.1453094220466632e-35]]
earn : [['earn', 0.9999999999999998], ['money-supply', 3.1703134982063477e-16], ['interest', 1.870391224283449e-26], ['acq', 2.3763192597683923e-29], ['ship', 5.305723608101295e-30], ['crude', 8.815010321532892e-32], ['sugar', 5.148438541033097e-35], ['money-fx', 2.056791607828274e-38], ['grain', 5.398926099564371e-39], ['trade', 1.6595753969744088e-43]]
earn : [['earn', 1.0], ['acq', 3.2110956305142962e-18], ['money-supply', 2.3097242760896903e-18], ['ship', 5.295801545124699e-19], ['sugar', 2.1616143652634691e-19], ['crude', 1.21872169878486e-19], ['interest', 1.1750708806623463e-20], ['grain', 2.8813510872815236e-23], ['money-fx', 4.058053627766345e-27], ['trade', 1.1569590833122766e-27]]
earn : [['earn', 1.0], ['money-supply', 2.4864734557493422e-23], ['sugar', 1.2465135304298716e-32], ['ship', 9.106621549988437e-37], ['interest', 5.586465279130453e-39], ['crude', 1.4554576231133824e-44], ['grain', 1.0094962241790375e-44], ['acq', 2.3513751515394855e-47], ['money-fx', 6.084538203499795e-54], ['trade', 1.4425679124744975e-56]]
earn : [['earn', 0.5619289450268278], ['acq', 0.43807105387281214], ['interest', 9.58882812106611e-10], ['ship', 1.4117566519608637e-10], ['crude', 2.8505096561420095e-13], ['sugar', 1.1394332506861266e-14], ['money-supply', 5.005752680102878e-15], ['money-fx', 1.1419261709214379e-16], ['trade', 1.4929689040413066e-18], ['grain', 9.8154920353405e-19]]
earn : [['earn', 0.9999999999999951], ['acq', 4.182026482376327e-15], ['money-supply', 7.567678969792932e-16], ['interest', 1.9873721464670248e-18], ['ship', 1.8084526176078694e-18], ['sugar', 1.5604301714863341e-18], ['crude', 2.671164804327376e-22], ['grain', 6.374407409598953e-24], ['money-fx', 4.193136267065121e-26], ['trade', 2.1274097438331917e-27]]
earn : [['earn', 1.0], ['money-supply', 8.453326403932602e-19], ['ship', 4.695892908214248e-20], ['interest', 1.8466785410511098e-20], ['acq', 1.8553000684579556e-21], ['sugar', 1.7659848806896867e-21], ['crude', 1.1247813356721347e-21], ['grain', 2.6255915371932593e-23], ['money-fx', 1.2724639520160182e-27], ['trade', 5.141033260853452e-29]]
earn : [['earn', 1.0], ['money-supply', 1.7422767702367548e-19], ['interest', 2.3146991853049085e-23], ['sugar', 5.6407256480495085e-25], ['acq', 5.620185176937502e-25], ['crude', 5.172581527304027e-25], ['ship', 1.7600855075868354e-26], ['grain', 1.515512039988838e-28], ['money-fx', 1.020516988094779e-31], ['trade', 2.7799124168427147e-33]]
earn : [['acq', 0.9999931631087983], ['earn', 5.721840862266331e-06], ['ship', 1.1007078908292177e-06], ['interest', 1.0684292754646727e-08], ['crude', 3.657946464404275e-09], ['money-supply', 1.9928637941633815e-13], ['sugar', 1.0095720295157934e-14], ['money-fx', 5.898806550932773e-23], ['grain', 1.704605272697865e-25], ['trade', 8.644542496428514e-26]]
earn : [['earn', 0.999999999999823], ['money-supply', 1.769663573231771e-13], ['interest', 9.69338745465119e-24], ['sugar', 1.0281756962207082e-26], ['ship', 3.1424364913310127e-29], ['crude', 2.658708487893842e-30], ['acq', 1.4768560771037456e-32], ['grain', 3.871260965489949e-36], ['money-fx', 6.433959249350602e-37], ['trade', 5.095387349451335e-39]]
earn : [['earn', 1.0], ['money-supply', 7.384360531622907e-20], ['sugar', 1.4369059959055042e-25], ['ship', 1.5921340684550347e-26], ['interest', 1.3293761035806074e-26], ['acq', 7.501709248988048e-29], ['crude', 2.8561921986868553e-29], ['grain', 2.1740626814940792e-32], ['money-fx', 2.149184782929791e-36], ['trade', 4.485607698826857e-39]]
earn : [['earn', 1.0], ['money-supply', 5.933404623387033e-31], ['sugar', 1.2070434228362176e-40], ['interest', 9.227852890051571e-42], ['ship', 7.0715890913734605e-43], ['crude', 3.2770950536605807e-46], ['acq', 2.4113162404868937e-52], ['grain', 2.3652548014288143e-52], ['money-fx', 1.5486744471669014e-56], ['trade', 5.81324299965195e-60]]
earn : [['earn', 1.0], ['money-supply', 1.4463319925688251e-24], ['ship', 5.424227085665482e-25], ['sugar', 2.233329289851996e-25], ['interest', 1.0714493304528788e-26], ['acq', 1.7965487206417665e-27], ['crude', 5.27624554360733e-29], ['grain', 1.1870935374552488e-30], ['trade', 3.891120053330251e-36], ['money-fx', 3.1648456551191745e-36]]
earn : [['earn', 0.9999967029752048], ['money-supply', 3.2970195701125787e-06], ['interest', 3.3751571736563678e-12], ['acq', 1.1882608496892559e-12], ['sugar', 2.4504140199616437e-13], ['crude', 2.1741683334479068e-13], ['grain', 1.9036800095896798e-13], ['money-fx', 6.067925592843188e-15], ['ship', 1.6014770576889123e-15], ['trade', 1.5147678548748485e-15]]
earn : [['earn', 0.9999999999647706], ['money-supply', 2.5640611548855654e-11], ['acq', 9.330851509079154e-12], ['interest', 1.4228268765303113e-13], ['sugar', 8.316678399302278e-14], ['crude', 2.2499135794157734e-14], ['grain', 9.806196057928975e-15], ['money-fx', 1.8897189783353847e-16], ['trade', 4.3357773207400254e-17], ['ship', 1.2204797263686238e-17]]
earn : [['earn', 1.0], ['acq', 1.1813015503479507e-18], ['ship', 1.0665802592076711e-18], ['money-supply', 3.3121524574544996e-19], ['interest', 7.569511109907952e-20], ['sugar', 7.152248902801876e-20], ['crude', 1.512482065837017e-20], ['grain', 7.575867733598462e-23], ['money-fx', 1.1847347917539862e-26], ['trade', 1.554797477703271e-28]]
earn : [['earn', 0.9999999999999998], ['acq', 2.893297586299251e-16], ['interest', 3.6014061871255864e-17], ['ship', 3.3533464864379537e-17], ['money-supply', 7.959962390077832e-18], ['crude', 2.726472984500084e-19], ['sugar', 9.539997361084416e-20], ['money-fx', 7.523609103412652e-23], ['grain', 1.0214751671787904e-23], ['trade', 6.938368753475356e-26]]
earn : [['earn', 0.9999999999999998], ['money-supply', 1.1998180062495895e-16], ['interest', 6.199756298696703e-27], ['sugar', 3.135464437889979e-27], ['ship', 1.8611549537909563e-27], ['acq', 4.302974217030354e-29], ['crude', 1.9038135053742638e-29], ['grain', 1.0092024281177037e-31], ['trade', 2.513340022848556e-34], ['money-fx', 3.659882928742079e-35]]
earn : [['earn', 1.0], ['money-supply', 5.869427087504739e-17], ['acq', 2.178530757674564e-17], ['interest', 4.11745649825731e-18], ['ship', 5.688813725538643e-20], ['sugar', 1.2029769212996019e-21], ['crude', 6.661381306851993e-23], ['grain', 8.602285784956633e-25], ['money-fx', 1.4273144238827343e-25], ['trade', 2.302880336845966e-26]]
earn : [['earn', 1.0], ['acq', 9.190824868884018e-29], ['money-supply', 7.469357459065913e-32], ['sugar', 5.19712955887998e-32], ['ship', 2.757719527871526e-36], ['crude', 2.6154046570415652e-36], ['interest', 6.422693498767557e-37], ['grain', 3.365712341990295e-42], ['money-fx', 3.947804953023006e-47], ['trade', 8.979974148146803e-49]]
earn : [['interest', 0.4366567493502084], ['earn', 0.4261671116650079], ['money-supply', 0.13637829457309927], ['crude', 0.0007971851163143603], ['ship', 6.592917532157732e-07], ['sugar', 3.6025403919331945e-12], ['acq', 1.394623493406588e-14], ['trade', 2.0009819490951479e-16], ['money-fx', 4.4712373621418336e-18], ['grain', 2.3554760615528184e-19]]
earn : [['earn', 1.0], ['money-supply', 8.165617651587759e-31], ['interest', 1.685394857277912e-38], ['sugar', 5.164470203582696e-42], ['crude', 6.84923770375878e-43], ['acq', 2.463529658436073e-44], ['ship', 1.4895756266187766e-44], ['grain', 1.9462694954779003e-49], ['money-fx', 3.1025829282388145e-53], ['trade', 3.490286329275781e-58]]
earn : [['money-supply', 0.9999999994400877], ['interest', 5.599123101440381e-10], ['sugar', 4.90078355574246e-21], ['ship', 2.753262351326472e-23], ['crude', 1.2984151098666338e-24], ['earn', 2.9210874374105265e-26], ['money-fx', 2.181737001750891e-40], ['grain', 1.4704742771300093e-43], ['trade', 9.274131427819553e-46], ['acq', 4.234667677263156e-55]]
earn : [['earn', 1.0], ['money-supply', 1.2330380096147584e-17], ['interest', 1.3424134477256248e-27], ['sugar', 1.2314659506170082e-27], ['ship', 7.194071390990655e-30], ['crude', 3.265899604534116e-30], ['acq', 9.425374196463818e-31], ['grain', 1.8366652711393018e-32], ['money-fx', 5.777285455250979e-38], ['trade', 2.012623642089489e-38]]
earn : [['acq', 0.8345690186280886], ['earn', 0.1654309813713709], ['crude', 4.1862144788103905e-13], ['interest', 6.400506809172091e-14], ['sugar', 5.6204657070839675e-14], ['ship', 1.5081389362446246e-15], ['money-supply', 1.0110225293159205e-17], ['grain', 4.496509099033927e-24], ['money-fx', 2.403871644001128e-24], ['trade', 8.486926054599723e-25]]
earn : [['earn', 1.0], ['money-supply', 2.6340004597866612e-22], ['sugar', 1.5486896310506607e-24], ['acq', 5.02281530297267e-25], ['ship', 6.474452156452102e-26], ['crude', 3.228470383284749e-27], ['interest', 1.1875232164388443e-28], ['grain', 6.122919257959224e-31], ['money-fx', 1.1117467989359942e-34], ['trade', 7.176430803438417e-37]]
earn : [['ship', 0.9564995056528831], ['interest', 0.037072420192851334], ['trade', 0.0035630355353778163], ['sugar', 0.0028648318066491593], ['crude', 1.7302858774015316e-07], ['money-supply', 3.378301053031346e-08], ['acq', 4.5128098566822745e-13], ['money-fx', 1.8913364159785839e-13], ['grain', 5.98928030465937e-23], ['earn', 7.12594763829142e-33]]
earn : [['earn', 1.0], ['ship', 5.114152200894469e-20], ['acq', 2.5974570456825486e-20], ['sugar', 2.313062352270885e-21], ['money-supply', 1.584020950746756e-21], ['interest', 5.581711818037069e-22], ['crude', 6.003977907478931e-23], ['grain', 9.485226274470484e-24], ['money-fx', 6.806225241143632e-28], ['trade', 5.237610381178765e-29]]
earn : [['earn', 0.999901589833615], ['acq', 9.84101506170183e-05], ['interest', 1.5235913735742187e-11], ['ship', 4.890276023877317e-13], ['crude', 3.9969823770732584e-14], ['money-supply', 1.506458418566735e-15], ['sugar', 1.2739917211952202e-15], ['money-fx', 2.6315172170479533e-18], ['grain', 1.821157102155228e-18], ['trade', 9.781863079714929e-20]]
earn : [['sugar', 0.9998585779856399], ['ship', 0.00013600065150365918], ['acq', 5.420905516672991e-06], ['interest', 3.0027900543821406e-10], ['crude', 1.5455486787437752e-10], ['money-supply', 2.505819324376341e-12], ['money-fx', 3.193974734246201e-22], ['trade', 3.2292907818712402e-24], ['grain', 4.1278555185123265e-28], ['earn', 6.528912700366194e-30]]
earn : [['earn', 1.0], ['money-supply', 1.339010190059853e-23], ['sugar', 5.815468380398909e-29], ['interest', 1.983379893730055e-29], ['ship', 1.56491425000259e-29], ['crude', 6.208340799219324e-32], ['acq', 2.5813290046843493e-33], ['grain', 7.422554709883986e-34], ['money-fx', 9.426232688981217e-40], ['trade', 4.006610216987303e-44]]
earn : [['earn', 1.0], ['money-supply', 1.75383844822384e-29], ['interest', 1.0737683359433475e-32], ['sugar', 1.2160417394380674e-34], ['crude', 2.2259186487854655e-35], ['ship', 9.527590067066133e-36], ['acq', 4.79080667359344e-40], ['grain', 4.053681126311497e-41], ['money-fx', 4.752772990206604e-44], ['trade', 1.017123926716674e-47]]
earn : [['earn', 1.0], ['money-supply', 1.3218894762189659e-27], ['interest', 3.348302311864301e-34], ['ship', 9.577850528548268e-36], ['sugar', 1.727121807494509e-36], ['crude', 5.407521218551871e-39], ['acq', 2.5557487870848976e-39], ['grain', 4.3728270066552975e-44], ['money-fx', 4.5025466403872424e-46], ['trade', 1.1515960991629377e-48]]
earn : [['earn', 1.0], ['money-supply', 1.7336339067329728e-20], ['interest', 6.138207202246293e-31], ['sugar', 4.110920018912695e-31], ['acq', 6.138842272280924e-35], ['ship', 9.336975121427608e-36], ['crude', 6.025845778103044e-36], ['grain', 8.794432904846911e-37], ['money-fx', 4.203130949411e-42], ['trade', 4.67994342801832e-43]]
earn : [['earn', 1.0], ['money-supply', 4.673490755973129e-19], ['ship', 1.2282404811212325e-25], ['acq', 1.1405033640002723e-25], ['interest', 1.0048622469158681e-25], ['sugar', 3.4113777626174705e-27], ['crude', 2.0757555792799187e-27], ['grain', 5.4944434863256835e-30], ['money-fx', 5.902436786540097e-32], ['trade', 4.7949266381685345e-36]]
earn : [['earn', 1.0], ['money-supply', 1.2182964515811993e-32], ['sugar', 2.3057025981752684e-42], ['interest', 7.523798566258076e-43], ['ship', 2.6307945275384684e-44], ['crude', 4.56055406140612e-45], ['acq', 1.921637997683583e-48], ['grain', 8.26495591825815e-49], ['money-fx', 9.823414101390001e-56], ['trade', 1.279397868085823e-57]]
earn : [['earn', 1.0], ['money-supply', 2.7405007420770316e-25], ['ship', 6.785036468214725e-26], ['interest', 5.221941055789104e-26], ['sugar', 2.2609924989120036e-26], ['crude', 2.428319697165866e-27], ['acq', 1.2217577769673465e-27], ['grain', 2.6900609164751093e-33], ['money-fx', 4.0289601504104543e-35], ['trade', 2.4926818946723745e-37]]
